708082083,0.46900001168251,3544,1661,3,0,NORMAL
708083283,0.736000001430511,3421,2517,1,1,NORMAL
708084558,0.214000001549721,8258,1771,3,1,NORMAL
708085458,0,1438.30004882813,0,2,0,NORMAL
708086958,0.238999992609024,3128,749,5,0,NORMAL
708095133,0.0549999997019768,33304,1833,2,0,NORMAL
708098133,0.5,2834,1418,1,0,NORMAL
708099183,0.326999992132187,5723,1873,2,0,NORMAL
708100533,0.850000023841858,2679,2277,3,0,High Risk
708103608,0.211999997496605,11898,2517,5,0,NORMAL
708104658,0.619000017642975,1438.30004882813,890,3,0,NORMAL
708108333,0,5590,0,3,1,NORMAL
708112008,0.0450000017881393,23510,1049,2,0,NORMAL
708113208,0,1688,0,2,0,NORMAL
708117933,0,1880,0,2,1,NORMAL
708119658,0.0810000002384186,12836,1034,2,0,NORMAL
708121908,0,22917,0,3,1,NORMAL
708123033,0,11463,0,1,0,NORMAL
708125733,0,1438.30004882813,0,3,0,NORMAL
708128733,0,1814,0,4,0,NORMAL
708129933,0.745000004768372,2072,1544,3,0,High Risk
708132783,0.0719999969005585,16411,1179,2,0,NORMAL
708134283,0.20100000500679,3131,629,3,0,NORMAL
708136908,0.305999994277954,2616,801,2,0,NORMAL
708139833,0,6391,0,2,1,NORMAL
708145908,0.444999992847443,4906,2185,3,0,NORMAL
708147108,0.119000002741814,21084,2517,1,0,NORMAL
708148158,0,1827,0,3,0,NORMAL
708151008,0.103000000119209,6250,644,1,0,NORMAL
708152358,0.0900000035762787,18512,1664,3,1,NORMAL
708153558,0.0520000010728836,34516,1802,2,0,NORMAL
708154833,0.564000010490417,1438.30004882813,811,3,1,NORMAL
708155733,0.111000001430511,14734,1634,2,0,NORMAL
708158133,0.829999983310699,3031,2517,2,1,NORMAL
708160008,0.0309999994933605,34516,1058,2,0,NORMAL
708161133,0.209999993443489,6629,1389,1,0,NORMAL
708162558,0.612999975681305,3250,1992,1,0,NORMAL
708163758,0.0179999992251396,34516,638,4,0,NORMAL
708170508,0,1438.30004882813,0,3,1,NORMAL
708171858,0.579999983310699,1864,1081,2,0,NORMAL
708173433,0.412000000476837,5645,2324,2,0,NORMAL
708174708,0.231000006198883,5535,1276,2,0,NORMAL
708176208,0,7268,0,4,0,NORMAL
708177333,0.221000000834465,11261,2485,3,0,NORMAL
708178608,0,2488,0,2,0,NORMAL
708185208,0.351999998092651,3178,1118,1,0,NORMAL
708186933,0.398999989032745,1819,725,3,1,NORMAL
708190158,0.830999970436096,2920,2426,3,1,High Risk
708193008,0,14480,0,3,0,NORMAL
708195633,0.034000001847744,34516,1182,2,0,NORMAL
708197358,0.00899999961256981,30543,264,1,1,NORMAL
708204033,0.702000021934509,2980,2093,1,0,NORMAL
708205083,0,1438.30004882813,0,4,0,NORMAL
708207783,0,1477,0,3,0,NORMAL
708208758,0.483999997377396,1826,883,3,0,NORMAL
708211383,0,2664,0,3,0,NORMAL
708212658,0.574999988079071,2193,1260,3,0,NORMAL
708216108,0.381000012159348,4088,1557,1,0,NORMAL
708217758,0.146999999880791,14035,2061,2,0,NORMAL
708219108,0.115000002086163,9959,1143,3,0,NORMAL
708219858,0,6423,0,3,0,NORMAL
708222558,0.654999971389771,2310,1513,2,0,NORMAL
708223383,0.0860000029206276,11410,979,3,1,NORMAL
708224133,0.663999974727631,2228,1480,2,0,NORMAL
708225483,0.138999998569489,11242,1561,2,0,NORMAL
708226833,0.0240000002086163,34516,831,6,0,NORMAL
708229308,0,3243,0,2,1,NORMAL
708231183,0.0729999989271164,12539,910,3,0,NORMAL
708234558,0.59799998998642,2239,1340,2,0,NORMAL
708238833,0.731000006198883,3032,2215,2,0,NORMAL
708241233,0,2972,0,3,1,NORMAL
708242283,0,5346,0,3,0,NORMAL
708243483,0.0769999995827675,14938,1155,2,0,NORMAL
708244458,0.542999982833862,2793,1517,3,0,NORMAL
708245808,0.0469999983906746,19671,924,1,0,NORMAL
708248358,0,29937,0,1,0,NORMAL
708249708,0.324999988079071,4844,1576,3,0,NORMAL
708252108,0.25900000333786,7362,1907,3,0,NORMAL
708253458,0.330000013113022,5528,1823,2,0,NORMAL
708254733,0.630999982357025,2968,1873,4,0,NORMAL
708255633,0.455000013113022,3761,1710,2,0,NORMAL
708260208,0.621999979019165,2057,1279,3,0,NORMAL
708266883,0,1666,0,2,1,NORMAL
708267858,0.351999998092651,6088,2145,2,0,NORMAL
708269583,0.679000020027161,2029,1377,2,0,NORMAL
708271833,0.122000001370907,15069,1843,2,0,NORMAL
708272808,0.541999995708466,2718,1474,2,0,NORMAL
708273858,0,34516,0,2,0,NORMAL
708276183,0,1760,0,4,1,NORMAL
708281433,0,1438.30004882813,0,1,0,NORMAL
708285108,0.365000009536743,6128,2239,1,0,NORMAL
708286683,0.144999995827675,12045,1749,3,0,NORMAL
708288108,0.273999989032745,5639,1547,5,1,NORMAL
708290208,0.0869999974966049,13608,1190,3,0,NORMAL
708291633,0.537000000476837,4651,2499,3,0,NORMAL
708292833,0.046000000089407,27389,1250,2,0,NORMAL
708295533,0.529999971389771,3549,1880,3,0,NORMAL
708296883,0.0670000016689301,11749,788,1,0,NORMAL
708298233,0,6184,0,2,1,NORMAL
708300483,0.0769999995827675,7882,605,4,1,NORMAL
708301683,0.0509999990463257,20798,1059,2,1,NORMAL
708303108,0.96399998664856,1770,1706,3,0,High Risk
708307533,0,3086,0,2,0,NORMAL
708313608,0.859000027179718,2464,2116,3,0,High Risk
708314808,0.24600000679493,5659,1393,1,0,NORMAL
708316008,0,10031,0,2,1,NORMAL
708319908,0.358000010251999,4116,1473,1,1,NORMAL
708323208,0,1522,0,2,1,NORMAL
708324483,0,1548,0,3,0,NORMAL
708330858,0.166999995708466,8249,1381,3,1,NORMAL
708331758,0.0570000000298023,32444,1843,1,0,NORMAL
708332808,0,3471,0,2,0,NORMAL
708334158,0.0700000002980232,9863,686,2,0,NORMAL
708337683,0.0410000011324883,21800,893,2,0,NORMAL
708338958,0.540000021457672,3173,1713,1,0,NORMAL
708340758,0,7769,0,3,1,NORMAL
708341958,0.924000024795532,2061,1904,2,0,NORMAL
708344358,0.542999982833862,2495,1354,1,0,NORMAL
708347583,0.456000000238419,2509,1144,1,0,NORMAL
708354858,0,14938,0,4,1,NORMAL
708355683,0,16815,0,2,0,NORMAL
708357183,0,1438.30004882813,0,2,0,NORMAL
708358683,0.0359999984502792,34516,1236,3,0,NORMAL
708360108,0.477999985218048,2800,1338,1,0,NORMAL
708361833,0,19430,0,2,0,NORMAL
708367908,0.537999987602234,3022,1627,1,0,NORMAL
708369633,0.119000002741814,15487,1847,3,1,NORMAL
708371733,0,4662,0,1,0,NORMAL
708373083,0.75,3356,2517,3,1,High Risk
708375858,0.483000010251999,2776,1341,4,0,NORMAL
708376983,0.0939999967813492,8513,799,2,1,NORMAL
708378108,0.358999997377396,2147,771,3,0,NORMAL
708382083,0,2292,0,2,0,NORMAL
708384033,0.897000014781952,2745,2463,3,1,High Risk
708385533,0,11059,0,3,1,NORMAL
708386958,0,1561,0,3,1,NORMAL
708387933,0,5500,0,1,0,NORMAL
708390633,0.954999983310699,2421,2312,5,0,High Risk
708393633,0.612999975681305,2685,1647,2,0,NORMAL
708394908,0.616999983787537,2337,1442,1,0,NORMAL
708396033,0.425000011920929,2490,1059,2,0,NORMAL
708397008,0.216000005602837,3805,821,2,0,NORMAL
708398283,0.20100000500679,4394,885,2,0,NORMAL
708399858,0.883000016212463,2548,2250,2,0,NORMAL
